78638,Тинькофф,https://api.hh.ru/employers/78638
3776,МТС,https://api.hh.ru/employers/3776
4496,МТС Финтех,https://api.hh.ru/employers/4496
3529,СБЕР,https://api.hh.ru/employers/3529
39305,Газпром нефть,https://api.hh.ru/employers/39305
84585,Авито,https://api.hh.ru/employers/84585
160748,ГНИВЦ,https://api.hh.ru/employers/160748
2180,Ozon,https://api.hh.ru/employers/2180
6596,Роснефть,https://api.hh.ru/employers/6596
1092837,S7 IT,https://api.hh.ru/employers/1092837
3664,S7 Airlines,https://api.hh.ru/employers/3664
